Municipio;pop_censo;Escolarizacao;IDHM;Mortalidade_infantil;PIB;2020;2021;2022;2023;2024
Itaituba;123314;94.4;0.64;18.56;30318.38;272.6076864;355.5777455;347.7558102;111.2620552;154.4962528
Itupiranga;49754;91.2;0.528;12.45;15755.46;33.22118496;48.25651463;26.76169175;27.56528209;21.29946194
Jacareacanga;24042;90.1;0.505;20.8;90011.45;88.93299466;110.7572175;107.514232;57.8379431;45.80433298
Jacunda;37707;96.3;0.622;15.44;10173.91;3.764700828;1.630017615;1.399401855;2.418646932;2.658408638
Juruti;50881;96.6;0.592;7.12;24211.68;9.326653108;4.569739211;15.60347823;8.515238032;20.56139472
Limoeiro do Ajuru;29569;97.7;0.541;23.98;16981.77;0.235285238;0.344383789;0;0.13829684;0
Mae do Rio;34353;96.5;0.599;10.53;11198.48;0.206185196;0;0;0.067799773;0
Magalhaes Barata;8115;98.4;0.597;0;11448.24;1.71623506;1.214530983;0.138446868;0.17950349;0
Maraba;266533;94.7;0.668;14.75;47010.21;57.94968736;73.58179592;42.45328395;36.3070972;21.41916499
Maracana;25971;98.1;0.57;24.54;9810.78;0.891716612;0.594686332;0.336245416;0.259861432;0
Marapanim;26573;99;0.609;18.59;9230.71;0.665029741;1.345273125;0.70471232;0.163167466;0
Marituba;111785;95.5;0.676;11.54;18986.11;0;0;0.08222988;0;0
Medicilandia;27094;94.5;0.582;8.4;31655.85;64.6281382;105.4553488;102.0784957;97.1461945;53.51006014
Melgaco;27881;85.4;0.418;22.68;7711.49;2.19186486;1.849792696;1.917189213;0.741173573;3.080421228
Mocajuba;27198;96.5;0.575;19.96;14164.3;0.087664633;6.50E-05;0;0.285262773;0.269601761
Moju;84094;93.1;0.547;9.67;16005.52;36.28778167;55.68587744;74.62916122;97.24037509;63.0544765
Mojui dos Campos;23501;-;-;10.67;17727.77;31.41480182;61.83692086;80.83270059;91.04308198;83.22085073
Monte Alegre;60012;96.1;0.589;14.63;13850.64;32.83200682;37.56842702;37.28028988;16.38367018;26.3115221
Muana;45368;92.6;0.547;9.76;8172.04;0.093134703;0.30404297;0.128181868;0;0.329954015
Nova Esperanca do Piria;20478;91.2;0.502;3.37;16303.8;7.711113033;2.385651585;7.904255331;4.312444396;4.320554566
Nova Ipixuna;13955;95.1;0.581;5.29;11311.77;6.547956666;3.705646228;4.031148619;2.46911693;2.289514817
Nova Timboteua;12806;97.6;0.609;20.98;9426.75;0.071364175;0;0.024116305;0.359081698;0
Novo Progresso;33638;94.2;0.673;15.45;37701.86;364.0993826;414.1745303;261.7820694;96.50783804;62.569433
Novo Repartimento;60732;90.9;0.537;15.22;14231.91;154.8185387;190.5289918;109.3654086;107.9671033;69.37167918
obidos;52229;95.4;0.594;23.28;18408.13;42.42358242;29.5696073;31.66832575;23.6940518;21.8775553
Oeiras do Para;33844;95.6;0.507;24.08;12629.63;2.424480862;10.55343655;3.288140713;2.469565605;6.638775967
Oriximina;68294;96.3;0.623;21.77;30413.04;24.50014531;17.14693597;14.37871249;15.43038601;13.79366317
Ourem;17855;97.4;0.568;4.1;11097.32;0.333521864;0.423570197;0;0.474505414;0
Ourilandia do Norte;32467;90.4;0.624;15.92;38498.1;17.68559615;14.95989881;7.862605289;8.888896067;3.755415286
Pacaja;41097;93;0.515;18.97;17666.57;247.2454966;258.1882001;222.0808419;186.3494979;84.4711951
Palestina do Para;6885;96.6;0.589;9.43;13038.79;1.054168139;1.127575738;0.74362572;0.256971057;0
Paragominas;105550;95.9;0.645;16.18;36952.54;19.56030961;31.19882931;47.03397796;31.58764882;33.92331464
Parauapebas;267836;95.8;0.715;11.56;227449.71;4.079815951;7.284449617;4.161525364;2.931986458;2.919356939
Pau DArco;6931;95.5;0.574;9.09;21515.23;2.954652579;3.90518145;1.623986446;4.737266634;2.312583972
Peixe_Boi;8285;95.5;0.581;0;8946.94;0.248097921;0.315284426;0.143493231;0.296207695;0
Picarra;12832;92.6;0.563;6.9;22561.23;1.60584778;1.912932195;1.937041489;1.063537446;0.567088958
Placas;18668;92;0.552;21.15;10000.39;85.86542498;141.3149573;141.2390819;63.58169821;52.54570957
Ponta de Pedras;24984;91.3;0.562;19.34;8599.05;0;0;0;0;0
Portel;62503;89.7;0.483;17.03;14816.2;189.9853342;240.6468275;315.4522886;201.1545661;106.8176494
Porto de Moz;40597;89.4;0.503;10.48;9531.67;32.1012296;51.24554335;41.37717826;22.38858717;16.22656056
Prainha;35577;92.3;0.523;8.58;14851.29;54.88330292;66.91191873;85.16625887;56.57767916;68.27298925
Primavera;10851;97.2;0.577;0;29545.97;0.449152823;0.064276012;0.251143564;0.070121785;0
Quatipuru;11524;96.7;0.543;16.81;8763.36;0.077859183;0.070807571;0;0.171988375;0
Redencao;85597;95.5;0.672;17.27;29567.91;0.221017879;0.406706282;0.106020238;0.298065178;0.072230161
Rio Maria;18384;94.7;0.638;25.93;33055.36;11.72146181;5.840691415;8.120850666;8.184832685;3.441750126
Rondon do Para;53143;91.8;0.602;8.93;13787.05;36.28314515;34.57978334;46.80321661;35.92612961;42.24856924
Ruropolis;35769;87;0.548;13.25;9468.44;98.56509604;169.4725142;118.1415949;39.90735699;25.28928308
Salinopolis;44772;97.3;0.647;16.76;15593.74;0;0.893250597;0.343236292;0;0
Salvaterra;24129;97.9;0.608;21.47;8624.59;0.081010958;0.352622306;0;0.19479228;0
Santa Barbara do Para;21087;97.3;0.627;12.7;11027.66;0.32063259;0.095160573;0;0;0.068587381
Santa Cruz do Arari;7445;92.8;0.557;0;9150.41;0;0;0;0;0
Santa Izabel do Para;73019;98.3;0.659;15.96;12835.31;0.351156142;0.496781634;0.226345859;0;0.449450475
Santa Luzia do Para;20370;91.9;0.546;18.32;9888;0.552168399;0;0.004398482;1.017943347;0
Santa Maria das Barreiras;16548;93.6;0.544;14.02;48203.76;32.71266121;12.35437049;16.32514282;13.78360922;15.20422185
Santa Maria do Para;24624;98.2;0.598;7.87;14790.55;0.100023289;0;0;0.232131179;0
Santana do Araguaia;32413;90.9;0.602;11.57;18185.03;51.62262354;26.27137576;17.2300094;7.939516856;9.663005919
Santarem;331942;97.3;0.691;16.29;20725.66;15.55596445;17.71757797;54.46381183;50.46472813;57.16599692
Santarem Novo;6116;98.6;0.587;12.35;8838.35;0.065785082;0.087748075;0.142416659;0.134619771;0
Santo Antonio do Taua;27461;98.9;0.632;21.79;14702.56;0.386676899;0.470579879;0;0.120661135;0.155780216
Sao Caetano de Odivelas;16666;96.2;0.585;9.76;10061.58;0.900122855;0.378268069;0.17581739;0.771860154;0
Sao Domingos do Araguaia;21092;96.1;0.594;2.85;13837.78;1.569766778;1.5049898;1.423660362;1.354800831;0.631439639
Sao Domingos do Capim;30599;96.4;0.532;9.9;13579.38;2.139077068;1.189995728;0.827079852;1.7990764;1.15665793
Sao Felix do Xingu;65418;77.9;0.594;12.55;14802.13;608.8431833;576.9612511;534.5203349;314.1950102;100.3332615
Sao Francisco do Para;14894;97.7;0.608;15.15;16546.12;0.208911996;0.235804407;0.223468068;0.124477705;0
Sao Geraldo do Araguaia;24255;96.1;0.595;14.96;28929.59;1.260634624;1.474030422;0.552094451;0.355275668;0
Sao Joao da Ponta;4430;99.1;0.583;0;9120.92;0.651732225;0.395915682;0.40076342;0.307786221;0
Sao Joao de Pirabas;20689;96.3;0.539;19.84;7771.66;0.566435074;1.916069134;0.956786717;0.787623675;0
Sao Joao do Araguaia;13664;91.6;0.55;17.05;13249.93;4.772330875;5.375245824;4.806150796;3.260143204;2.157918379
Sao Miguel do Guama;52894;96.9;0.591;10.06;13160.19;0.65709781;0.841197765;0.393018697;0.100200367;0
Sao Sebastiao da Boa Vista;25643;93.7;0.558;13.62;8974.71;0.412979772;0.27283624;0;0;0.076090615
Sapucaia;5847;94.8;0.59;24.1;23189.27;3.781766428;1.489694431;1.833097987;0.441696874;0.430293213
Senador Jose Porfirio;22576;92.4;0.514;42.9;21785.17;147.6063996;112.2943597;122.01299;72.66001213;46.4920331
Soure;24204;97.6;0.615;12.79;9389.68;0;0;0;0;0
Tailandia;72493;89.7;0.588;17.57;11579.35;37.48152603;39.44967319;24.67817682;35.63032401;65.12649311
